1,2,10,"tilesheet/1,1"
4,3,5,"tilesheet/0,6"
0,4,10,"tilesheet/0,1"
4,1,5,"tilesheet/0,6"
2,2,10,"tilesheet/2,2"
2,2,5,"tilesheet/0,7"
2,1,10,"tilesheet/2,0"
2,1,5,"tilesheet/0,6"
1,4,10,"tilesheet/2,1"
3,4,5,"tilesheet/1,7"
2,3,16,"tilesheet/8,1"
2,3,5,"tilesheet/0,6"
0,2,10,"tilesheet/0,1"
3,3,16,"tilesheet/9,1"
3,3,5,"tilesheet/1,6"
2,4,16,"tilesheet/9,0"
2,4,5,"tilesheet/0,7"
1,1,10,"tilesheet/1,0"
0,3,10,"tilesheet/0,1"
3,2,16,"tilesheet/9,0"
3,2,5,"tilesheet/1,7"
4,4,5,"tilesheet/0,7"
3,1,16,"tilesheet/9,0"
3,1,5,"tilesheet/1,6"
1,3,10,"tilesheet/2,1"
0,1,10,"tilesheet/0,0"
4,2,5,"tilesheet/0,7"
